2003 675
2004 1351
2005 1328
2006 1024
2007 1507
2008 3279
2009 2024
2010 4436
2011 2249
2012 3432
2013 3280
2014 3908
2015 4614
2016 2929
2017 1741
2018 981
2019 2058
2020 461
